"ID","Severity","Title","Status","Current","Fix"
"H6","high","Front-end errors and broken components occur sitewide","blocked","Rendered pages repeatedly log ReferenceError: wp is not defined. Sitewide defects also include raw MailPoet output, tel:contact@aiamigos.org, an HTTP YouTube URL, stale @2023 copyright, and misleading theme attribution.","Correct dependency enqueueing or remove the orphaned call; fix shortcode, email and HTTP schemes, attribution, and dynamic copyright."
"H7","high","Brand and audience are incoherent","blocked","The site simultaneously targets children, parents, students, career switchers, engineers, enterprise buyers, consultants, shoppers, and newsletter readers under multiple product/brand names without one primary promise.","Approve one primary audience, business model, and promise; segment materially different propositions with named owners, evidence, journeys, and editorial standards."
"H8","high","Childrenâ€™s content makes unsupported safety promises","blocked","Childrenâ€™s pages omit age bands, supervision/account requirements, privacy/data review, moderation/community risk, ads, accessibility, learning objectives, and review dates while using absolute safe/educational wording without a documented method.","Add educator/parent review, age and supervision bands, privacy/ads checks, known risks, accessibility, learning goals, test dates, and off-domain disclosure; remove unsupported absolutes; obtain child/privacy legal review."
"H9","high","Affiliate-style book recommendations lack disclosure and method","blocked","The page labels four books â€œbestâ€ in about 147 words, uses amzn.to links, and lacks exact edition metadata, age/reading method, comparison criteria, testing evidence, limitations, price context, and affiliate disclosure.","Disclose relationships prominently; publish selection/comparison method; identify author/edition/ISBN and age/reading level; add strengths/weaknesses and descriptive links; remove â€œbestâ€ absent evidence."
"H10","high","About, mission, and service claims lack evidence","blocked","About and service copy claims courses, tools, hands-on experience, community, premier/renowned status, and international events without named owners, methods, outcomes, customers, curriculum, metrics, or event records. Mission uses a meaningless slug, inconsistent singular brand, and stray punctuation.","Replace unsupported adjectives with legal/operator identity, named qualified owners, methodology, verified metrics, event/case records, correction process, and contact details; correct route/name/punctuation."
"H11","high","Privacy copy does not match site activities","blocked","The privacy page is largely default WordPress language and does not adequately cover controller/operator, effective date, newsletter processing, attachments, analytics/social embeds, affiliate short links, child-directed content, vendors, or realistic retention. This is a trust/content mismatch, not a legal conclusion.","Obtain legal review and publish activity-specific privacy, cookies, child-safety, affiliate, vendor, processing, and retention disclosures adjacent to relevant collection points."
"H12","high","Content and archive clusters overlap without an intent map","blocked","Fourteen additional self-canonical indexable archive URLs outside the sitemap overlap with root/category/author archives. About/Mission, newsletter, introductory AI, career, prompting, and Generative AI pages overlap. Actual query cannibalization requires Search Console evidence.","Create an intent map with one canonical owner per intent; merge/redirect variants; distinguish surviving support pages by job-to-be-done; validate query effects with Search Console when authorized."
"H13","high","Roadmap, test, and benchmark headlines do not deliver reproducible artifacts","blocked","Four headline-led articles omit promised architecture/code/evaluation/cost/deployment artifacts or use unfinished instructions, arbitrary targets, or qualitative scores without models, datasets, prompts, methods, outputs, or uncertainty.","Either retitle each as an editorial overview or publish executable/reproducible artifacts with versioned source, fixtures, methods, outputs, acceptance criteria, limitations, and correction history."
"M1","medium","Social cards are incomplete","blocked","The deterministic crawl found 25 sitemap pages without an OG image and 11 without a Twitter description; broader rendered sampling found additional incomplete core fields.","Provide an approved 1200Ã—630 default and complete title, description, URL, image, and card fields on every indexable template."
"M2","medium","Image alt text requires a human relevance review","pending","No captured image lacked the alt attribute, but 184 image elements had empty alt on 77 pages. Empty alt may be correct for decoration, so this is a review queue rather than 184 proven violations.","Classify each empty-alt instance as decorative or informative/functional; retain empty alt only for decoration, add concise contextual alt where required, and remove redundant linked copies."
"M3","medium","Schema is syntactically healthy but semantically uneven","blocked","All sitemap pages exposed parseable JSON-LD with no JSON errors, but demo records have weak semantics, root/archive entity choices are uneven, Person uses a domain string, and EducationalOrganization lacks visible support.","Model only substantiated Organization, Person, Article, CollectionPage, and related entities; align structured data with visible content; never add Review markup to unverifiable testimonials."
"M4","medium","Mixed-scheme references remain","blocked","All 114 sitemap pages contain at least one HTTP link because the footer YouTube target is global; eight unique HTTP targets were observed. upgrade-insecure-requests masks rather than removes the debt.","Change every TLS-capable reference and resource to explicit HTTPS; remove or document any unavoidable non-TLS destination."
"M5","medium","Mobile controls are undersized or unlabeled despite no basic horizontal overflow","blocked","At 390Ã—844, root and /home/ did not overflow and the menu opened, but social targets were about 17px high, menu rows about 39px, 20 carousel controls lacked accessible names, and /home/ rendered ~1,062 DOM elements with repeated carousel content in the accessibility tree.","Target approximately 44Ã—44 CSS pixels, label every control, hide cloned slides from assistive technology, and reduce DOM/carousel duplication."
"M6","medium","Response hardening and caching headers are weak","blocked","Audited HTML lacked HSTS, nosniff, frame protection, Referrer-Policy, Permissions-Policy, and explicit HTML Cache-Control; CSP only requested upgrade-insecure-requests and versions were disclosed. These are hygiene issues, not direct ranking factors.","Approve and deploy appropriate HSTS, nosniff, frame-ancestors/frame protection, Referrer-Policy, Permissions-Policy, CSP, and explicit HTML caching rules; validate compatibility in staging."
"M7","medium","Formulaic AI-content language weakens authority","pending","Across 71 posts, repeated stock phrases and hype-oriented headlines are frequent. Publication patterns resemble mass-produced content, but this does not prove AI authorship or a search penalty.","Rewrite priority pages around a defined reader problem, scope, evidence/test, result, limitations, and accountable authorship; remove stock enthusiasm and unsupported superlatives."
"M8","medium","Grammar and production defects are recurrent","blocked","The snapshot contains recurrent spelling, punctuation, placeholder, heading/list, numbering, and label defects across templates and content.","Adopt a human prepublication checklist and automated regression scans for grammar, headings, links, placeholders, factual sources, brand form, and headline fulfillment."
"M9","medium","Taxonomy has no visible editorial strategy","blocked","61 of 71 posts sit in generic Blog whose description is â€œYour blog categoryâ€; several indexable categories contain only 1â€“5 posts; a public taxonomy label misspells College.","Reduce taxonomy to approved user journeys; merge micro-categories; write useful archive introductions; noindex archives until they independently serve intent."
"M10","medium","Contact conversion asks for data without explaining the exchange","blocked","The page says Sign up today, requests phone, permits uploads, and omits clear purpose, necessity, attachment rules, recipient, retention, response time, and local privacy context.","Name the actual action, minimize fields, state purpose/response time/attachment rules/recipient/retention, and place relevant privacy notice before submission."
"M11","medium","Publication freshness is weak for a fast-moving AI site","pending","Of 71 posts, 58 date to 2023, 11 to 2024, two to 2025, and none to 2026 at audit time; 28 have no external references, 22 are under 600 words, and 12 have no content headings. Bursts alone do not prove automation or penalty.","Triage every post: update with primary sources and visible reviewed-on/reviewer, merge, noindex, or retire. Favor fewer tested source-rich updates over bulk publication."
"SEC-01","high","Public WordPress registration was enabled alongside a large unreviewed Subscriber population","pending","Authenticated production observation on 2026-08-13: WordPress Settings > General had 'Anyone can register' enabled. The Users inventory showed 294 total accounts: 1 Administrator and 293 Subscribers. Sampled Subscriber rows were dominated by scam-, crypto-, casino-, or spam-themed identities; sampling does not prove that all 293 Subscriber accounts are malicious. The authorized operator disabled public registration in production and verified after reload that users_can_register=false. Subscriber review, quarantine, and cleanup have not been completed or claimed.","Keep public registration disabled, preserve and export the full user inventory, define an approved allowlist and account-classification policy, create and verify a recoverable backup, then conduct an evidence-preserving account review. Quarantine only accounts supported by approved evidence and retain an auditable disposition for every reviewed account; do not bulk-delete or label all Subscribers malicious from the sample."
